,video_id,comments
13,Q6HG1kGIdao,"['Te amooooo duaaaaaaaa', 'Dua please check my community post tagging you ILYSM ❤❤', 'The fact that Dua was able to write this song after the scene was filmed and was able to match the music to the choreography is so impressive', 'Is there a benefit to recording a whole orchestra instead of using synthetic instruments?', 'The best ! Mark Ronson !❤', '❤️❤️❤️❄️☀️', 'Mr Ronson, I shoulda known!!!', 'This is so cool.', '❤', 'Ferry goed!']"
14,D1xkRWf6An8,"['Barbi', 'This is my most streamable music of this year.', 'Dua please check my community post tagging you ILYSM ❤❤', 'Did anyone watch the Barbie movie,.\nAnd realize dua lipa was the mermaid?\n👇🏼', 'Pendant enfermement 😢😮😡', 'Вау❤', 'It i my favorite song 😊❤', 'Wooo hoooooo!', '""Daaaaaance"" 😩❤❤', 'I love when Ken dances behind Barbie 😂😂😂😂😂']"
15,hCLkVrp_4CE,"['This song can make anyone groove', '\U0001fa77💕\U0001fa77💕\U0001fa77💕\U0001fa77💕\U0001fa77💕\U0001fa77', ""Damn she's good!!"", 'Do you work for the song in the movie', '😮❤', ""In 2012, I almost died from a drug overdose but Jesus Christ saved my life.  I prayed to the Lord Jesus and repented to Him for my sins and He saved my life.  Please pray to the Lord Jesus and repent to Him for your sins or if you don't then when you die you will go to hell."", 'SEI BRAVISSIMA 😘😘😘😘😘😘😘😘😘😘😘', '🎉🎉🎉🎉🎉🎉', 'Lord Jesus Christ is the Only Way to Heaven. Repent & Accept Him as Your Personal Saviour. He will Accept You as His Child. See You in Heaven. God Bless...❤', '❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥']"
16,OiC1rgCPmUQ,"['❤❤❤❤❤❤❤S.Kk❤❤❤❤❤', 'I think Dua might acryally be one of those artists that people might listen to 50 years from now\n\nSide note: shes absolutely gorgeous', 'She has a awesome voice and alot more very talented lady', 'SONG OF THE YEAR NOMINEE 😯', 'That bassline is freakn badass 🤘🤘🤘', 'I like this song', '🥰😍🤩', 'Disco \U0001faa9 Lives ❤', 'Barbie se volvió mi pelicula favorita y debo decir qué me gustó mucho está canción en la escena de la fiesta ya que me llamó mucho la atención como bailaba el elenco de la pelicula💖🎉🎵', 'Awesome']"
17,Y8DVF5S_Nx8,"['Dua Lipa has my heart 💜', 'New rules : first song for me 😮❤', 'Dua please check my community post tagging you ILYSM ❤❤', 'la amo es muy regia', 'New rules is my fav!', ""Actually, I'm from Mexico but I know a little English.I'm 11 years old.I want to see you in the state of Queretaro"", 'When will you give another Dua Lipa consert in Mexico', 'OMG I LOVE ur music!! \nCould u pls tell us when ur next concert is in england? \nLove u❤❤', 'IM A BIG FAN\n❤', 'i love , i so cool i love Dua Lipa 😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍💖💖💖💖💖💖💖💖💖💖💘💘💘💘💘💘💘💘💘💋💋💋💋💋']"
18,53xghVlEXk8,"['👌👌👌👌👌👌', ""Holy fuck athletic. That's awesome 👍"", 'Yoga transforms women in easy women prostitution', 'Stamina yeah go go dua 😊', 'Amangiri Resort ❤', 'Dang, an this whole time I thought she was an anime. Is perfection sold in cans or do we just get to sample it on YouTube 💪 keep killin em Q.D.L.', 'Dua please check my community post tagging you ILYSM ❤❤', '❤😂', 'Bien mi amor mi vida,, te falto un poquito,,jjja te quiero.mi love your.', 'I love yoga 💛💛💛💛💛 I need to travel and do yoga moves in peaceful places']"
19,lyWYxfccb6k,"['The HOTTEST WOMEN ON PLANET 🌎', ""Dua Lipa I'm your fan since I was little ❤❤❤❤\U0001faf6\U0001faf6\U0001faf6\U0001faf6"", 'Dang.   Dua is freaken bombizzle 😮', 'Дуа люблю тебя очень!!!', 'WOW!!!!', '❤❤❤❤❤❤❤', 'Wow 😍😋', 'Damn!!!!!!!!!!!', '😅❤', 'Fantástica,,y bella te amo mí vida.']"
20,epPiuZ8usBk,"['WOW you are getting it here😮', 'Watdehek en OMY', 'AYO... THE MEME 😭💀', 'Мы тебя любим ❤', 'Ты Супер и мы тебя любим дорогая всем сердцем и это правда ❤', 'Te amo tanto Dualipa ❤❤', 'MAGICAL AND FANTASTIC Presentation. Love DUA LIPA 👑💋💘🌹❤️\u200d🔥❤️❣️💗💕💞', 'Did you change your mind !?!?😮', 'i love love love Dua', '❤']"
21,-qJGButqL6w,"['❤❤❤❤❤❤', 'There is nothing ahead of you 😀', 'Me: Hi Dua Dua\nDua: Hello darling fan\nMe: It was playing Dance The Night in a consumer electronics store\nDua: What a nice!\nMe: I told my moma that it was  playing your music then she said it was bad for she thought it was Anitta. Then I said her that you are better than Anitta', 'Beautiful ⚜️❤️⚜️', 'Beautyfull dress 🖤', '💖💥🔥Beautiful🔥💥💖', 'Did someone just ask her if she was pregnant??', '🤩😍💕💞❤️💗', 'Gorgeoussssss❤', 'She Will Win Many Mores Grammys!! Garanties']"
22,6Hf_Tg2Td54,"['Linda ❤️💜😍', 'Beautiful', '🔥🔥🔥💯💯💯💋💋💋👍👍👍', 'Dua lipaaaaaaaaaaaaa soi tu fan numero 1 soi niña pero estoi en la c7enta de mi papapaaaaaaaaaaaaaa te amooooooooo', '😙😙😙😙😙', '🤩🤗💖😇🍭👌💐🦋🌈🌍\U0001faf6✌️🙋🏻\u200d♂️', 'Discipline in embaizada Portugal England duration time 15 minutes', ""I can embaizada the use o'clock 15 minutes"", 'She makes my day', 'Странная пошлая поза']"
